,IDs,Age,Annual_Income,Investment_Amount,Risk_Tolerance_Score,Months_of_Investing_Experience,Number_of_Active_Investments,Potential_Return_Rate,Investment_Duration,Investment_to_Income_Ratio,Education,Employment_Status,Marital_Status,Owns_Property,Has_Dependents,Investment_Sector,Has_Investment_Advisor
52,54,23.0,22161.0,127466.0,753,103,3.0,17.45,12,0.54,4,1,2,1,1,4,1,
53,55,44.3232547279944,136335.0,164310.0,535,108,1.0,20.92,12,0.13,2,3,1,0,1,4,0,
54,56,27.0,29521.0,196059.0,580,61,2.52142419914303,15.38,36,0.69,3,3,2,1,0,4,0,
55,57,35.0,133346.0,41160.0,301,16,4.0,17.79,48,0.25,3,4,2,0,1,5,0,
56,58,44.3232547279944,31463.0,197247.0,520,9,2.0,11.38,48,0.58,3,2,1,0,0,5,1,
57,59,50.0,138123.0,131814.590994711,445,37,1.0,20.46,48,0.13,2,3,3,1,1,2,1,
58,60,64.0,80589.0,213033.0,620,103,4.0,24.83,36,0.44,2,1,3,0,1,2,1,
59,61,44.3232547279944,59314.0,96736.0,779,88,2.0,24.01,60,0.32,3,4,1,0,0,2,1,
60,63,69.0,45450.0,30338.0,485,16,4.0,23.0,48,0.34,3,1,1,0,0,2,1,
61,64,26.0,57649.0,164091.0,674,33,3.0,4.48,24,0.48,4,3,1,1,0,1,1,
62,65,49.0,80129.8897460505,97340.0,384,19,2.0,24.64,36,0.57,4,4,3,1,0,1,1,
63,66,18.0,63096.0,131806.0,696,87,4.0,10.84,48,0.23,2,4,3,1,0,4,0,
64,67,41.0,34992.0,129776.0,517,52,2.0,19.39,12,0.41,2,2,1,1,0,5,1,
65,68,60.0,103088.0,10526.0,507,108,4.0,12.7,36,0.89,1,1,2,0,0,3,0,
66,69,35.0,46402.0,137865.0,552,22,4.0,14.63,12,0.82,4,4,2,0,1,5,1,
67,70,33.0,105381.0,69925.0,328,86,2.0,17.05,24,0.14,4,1,1,1,1,4,0,
68,71,37.0,46919.0,132331.0,846,85,1.0,2.83,48,0.7,1,3,1,1,0,1,1,
69,72,38.0,65067.0,230601.0,469,78,4.0,5.42,36,0.56,1,3,3,1,0,2,0,
70,73,67.0,80129.8897460505,13896.0,439,6,2.0,4.71,24,0.2,1,4,3,1,0,1,0,
71,75,62.0,97207.0,110667.0,752,27,2.0,20.06,36,0.39,4,1,2,1,0,2,1,
72,76,67.0,63716.0,53860.0,843,64,4.0,14.0743642237595,36,0.56,4,4,1,1,1,4,0,
73,77,58.0,36191.0,131550.0,736,7,2.0,14.0743642237595,60,0.64,4,2,3,1,0,4,1,
74,78,67.0,41345.0,119993.0,336,34,3.0,5.49,36,0.6,1,2,3,0,1,5,1,
75,79,44.3232547279944,139787.0,196214.0,551,98,2.0,14.0743642237595,12,0.25,3,1,1,0,0,4,0,
76,80,24.0,80129.8897460505,139219.0,717,117,3.0,24.65,36,0.76,2,1,1,1,1,2,0,
77,81,38.0,80129.8897460505,147073.0,630,71,3.0,11.77,24,0.12,2,2,1,1,1,2,0,
78,82,38.0,67583.0,71994.0,301,20,2.0,14.78,24,0.15,3,1,3,0,1,2,1,
79,83,61.0,27556.0,32487.0,522,82,4.0,10.17,36,0.51,3,2,1,0,0,2,0,
80,84,37.0,24401.0,195322.0,536,54,3.0,19.01,12,0.75,1,1,1,0,1,2,1,
81,85,44.3232547279944,118467.0,131814.590994711,455,25,4.0,21.45,24,0.37,3,4,3,1,1,1,0,
82,86,44.3232547279944,80129.8897460505,132832.0,440,17,4.0,12.72,48,0.68,3,1,2,0,0,4,1,
83,87,44.3232547279944,53369.0,95192.0,808,33,1.0,24.69,24,0.61,3,2,1,1,0,2,1,
84,88,42.0,133933.0,233569.0,377,118,2.0,18.18,12,0.85,1,3,3,0,0,5,1,
85,89,21.0,148115.0,31450.0,425,10,2.0,14.0743642237595,36,0.5,3,1,2,1,1,1,1,
86,90,47.0,65468.0,238593.0,502,45,3.0,18.56,24,0.52,3,4,1,0,0,1,0,
87,91,58.0,78526.0,33629.0,761,32,2.0,19.11,24,0.62,4,1,1,1,1,3,1,
88,92,33.0,98636.0,130164.0,776,119,4.0,24.64,36,0.76,1,3,1,1,1,1,1,
89,93,55.0,80129.8897460505,135737.0,830,86,2.0,14.0743642237595,36,0.61,4,4,2,0,0,3,0,
90,94,66.0,80129.8897460505,232665.0,333,42,4.0,3.88,48,0.73,4,1,2,0,1,3,0,
91,95,33.0,19174.0,155229.0,679,74,3.0,10.88,36,0.71,2,1,1,1,1,3,1,
92,97,44.3232547279944,147867.0,14717.0,495,0,1.0,4.31,48,0.55,2,4,1,1,0,3,0,
93,98,27.0,96528.0,111123.0,356,27,4.0,13.47,12,0.87,2,2,3,0,0,5,0,
94,99,21.0,28316.0,158026.0,754,1,1.0,2.3,60,0.62,4,2,1,1,1,2,0,
95,100,50.0,27089.0,165389.0,364,48,2.0,24.35,36,0.45,2,4,1,0,0,5,1,
96,101,34.0,62061.0,99728.0,468,109,2.52142419914303,20.33,60,0.55,1,2,1,1,1,5,0,
97,102,57.0,60595.0,182483.0,409,63,4.0,2.81,36,0.2,4,1,1,1,0,2,1,
98,103,43.0,143798.0,115497.0,444,98,3.0,20.34,12,0.42,4,1,2,0,0,5,0,
99,104,45.0,111277.0,66750.0,347,72,2.0,10.2,12,0.36,1,3,3,1,0,1,1,
100,105,48.0,108863.0,175338.0,523,25,3.0,20.32,24,0.51,1,2,3,0,0,1,0,
101,106,21.0,54352.0,108973.0,406,46,4.0,21.85,36,0.12,3,3,1,0,1,5,0,
102,107,69.0,80129.8897460505,130966.0,754,10,3.0,12.65,60,0.71,2,1,3,0,1,3,0,
103,108,60.0,60798.0,124903.0,521,65,4.0,21.77,12,0.24,2,1,2,0,2,5,1,
104,109,25.0,64294.0,131814.590994711,309,26,2.0,15.18,12,0.23,4,3,3,1,1,5,1,
105,110,52.0,58547.0,160945.0,783,119,2.0,8.86,24,0.89,3,3,3,1,1,3,1,
106,111,24.0,16386.0,131814.590994711,445,115,3.0,18.79,24,0.82,1,4,1,1,0,2,0,
107,112,59.0,17308.0,128588.0,400,49,4.0,24.8,36,0.87,1,2,1,1,1,3,1,
108,113,32.0,23748.0,97177.0,660,106,2.0,9.32,36,0.83,2,2,1,0,1,1,1,
109,114,45.0,80129.8897460505,95079.0,511,43,1.0,5.03,48,0.41,1,1,1,0,0,5,1,
110,115,31.0,106937.0,60320.0,681,1,4.0,5.19,60,0.76,4,3,2,1,1,5,0,
111,116,51.0,75614.0,145756.0,809,8,4.0,21.29,60,0.73,1,3,1,0,0,4,1,
112,117,27.0,94607.0,124804.0,571,75,2.0,3.43,12,0.67,4,3,3,0,1,1,0,
113,118,27.0,135718.0,96891.0,330,100,1.0,5.22,60,0.24,1,3,1,1,1,2,1,
114,119,18.0,120202.0,65165.0,540,31,4.0,19.31,60,0.1,2,4,1,1,1,4,0,
115,120,52.0,80129.8897460505,203495.0,607,9,2.0,19.61,48,0.45,1,2,1,0,1,2,0,
116,121,44.3232547279944,33726.0,141500.0,431,4,1.0,7.77,60,0.75,4,2,1,0,0,5,0,
117,122,68.0,51184.0,123023.0,848,118,1.0,6.0,60,0.63,1,3,3,0,0,1,0,
118,123,69.0,39712.0,219648.0,752,8,4.0,13.73,48,0.45,1,2,1,0,0,1,1,
119,124,40.0,55574.0,29362.0,811,110,3.0,9.06,60,0.8,3,2,2,1,1,4,0,
120,125,68.0,37718.0,62452.0,475,60,1.0,21.3,36,0.72,1,2,2,1,1,4,1,
121,126,25.0,106151.0,208654.0,486,96,3.0,9.26,48,0.14,3,1,2,1,1,1,0,
122,128,33.0,127028.0,182321.0,441,6,2.52142419914303,4.95,60,0.54,4,1,1,1,1,2,0,
123,129,28.0,48143.0,155521.0,328,75,3.0,21.83,48,0.82,2,3,1,1,1,1,0,
124,130,39.0,80129.8897460505,230674.0,497,10,1.0,19.93,36,0.64,2,3,1,1,1,3,1,
125,131,44.3232547279944,80129.8897460505,152729.0,819,3,4.0,13.83,48,0.75,2,4,2,1,1,4,1,
126,132,51.0,19136.0,98627.0,468,46,3.0,21.08,48,0.73,1,3,3,1,1,3,0,
127,133,23.0,50387.0,50991.0,526,17,4.0,14.0743642237595,48,0.11,2,4,2,0,1,5,1,
128,135,40.0,82035.0,180154.0,586,111,3.0,15.91,12,0.13,4,3,3,0,1,4,0,
129,136,44.3232547279944,18293.0,109314.0,785,41,4.0,19.97,60,0.55,1,4,1,1,2,2,1,
130,137,66.0,43329.0,194789.0,675,19,1.0,12.55,36,0.88,3,1,1,0,1,5,0,
131,138,38.0,44659.0,219148.0,396,46,4.0,14.97,36,0.78,4,1,3,0,0,4,1,
132,140,44.3232547279944,147389.0,24109.0,365,92,2.0,6.53,36,0.39,1,1,3,1,1,5,1,
133,141,37.0,25475.0,236087.0,671,76,4.0,13.39,60,0.82,3,3,1,0,1,5,1,
134,142,44.3232547279944,36261.0,72081.0,435,61,2.0,11.33,12,0.21,4,1,2,0,1,4,1,
135,143,56.0,50350.0,97808.0,491,36,3.0,3.18,48,0.66,3,3,1,0,1,3,0,
136,144,20.0,116051.0,242267.0,356,19,4.0,21.34,12,0.88,1,4,3,0,0,1,0,
137,145,31.0,103515.0,220032.0,369,57,2.0,22.36,24,0.81,4,4,1,0,0,3,1,
138,146,35.0,45713.0,221016.0,423,60,2.0,18.23,12,0.82,4,2,2,0,3,1,0,
139,147,44.3232547279944,37605.0,99930.0,345,56,2.0,3.47,60,0.48,2,1,1,0,1,3,0,
140,148,63.0,61108.0,178649.0,1015,1,2.0,18.4,48,0.18,2,1,3,0,1,3,0,
141,149,35.0,126469.0,131814.590994711,640,113,4.0,22.03,48,0.61,3,3,2,0,1,1,0,
142,150,34.0,131198.0,190545.0,713,68,2.0,18.44,60,0.34,2,2,2,1,0,4,0,
143,151,46.0,68587.0,83812.0,821,50,4.0,20.76,48,0.13,2,3,1,1,1,1,0,
144,152,31.0,32200.0,71496.0,326,56,3.0,21.92,12,0.11,4,1,1,1,1,2,0,
145,153,39.0,63205.0,235663.0,394,38,4.0,13.75,48,0.61,4,4,1,1,0,5,1,
146,154,57.0,33629.0,135862.0,814,119,2.0,2.96,60,0.46,4,1,2,0,0,2,1,
147,155,66.0,81150.0,111116.0,568,48,3.0,19.91,12,0.7,1,2,2,0,1,3,0,
148,156,56.0,42966.0,189863.0,647,57,3.0,15.07,60,0.27,1,1,2,0,0,1,0,
149,157,49.0,66994.0,123495.0,740,107,4.0,2.35,60,0.71,2,1,2,0,1,1,0,
150,158,56.0,33173.0,26270.0,463,68,4.0,21.28,36,0.48,2,3,1,0,1,3,1,
151,159,56.0,143295.0,185293.0,672,103,3.0,14.01,24,0.13,3,4,3,1,0,4,1,
152,160,57.0,53292.0,208580.0,530,117,4.0,20.31,36,0.57,1,1,1,1,0,2,0,
153,161,44.3232547279944,73159.0,179038.0,480,63,4.0,11.84,60,0.23,2,2,1,1,0,3,0,
154,162,33.0,17882.0,131814.590994711,702,46,3.0,14.22,12,0.61,1,1,1,1,0,3,0,
155,163,51.0,119432.0,14259.0,821,10,1.0,5.5,24,0.82,3,1,3,1,1,3,0,
156,164,25.0,49974.0,25749.0,523,8,3.0,11.93,36,0.53,4,1,2,1,0,2,1,
157,165,21.0,50965.0,131814.590994711,472,52,4.0,24.98,36,0.39,2,3,3,1,1,4,0,
158,166,33.0,21979.0,178884.0,845,109,4.0,8.84,12,0.49,3,4,1,1,1,2,1,
159,167,50.0,67332.0,55201.0,678,8,2.0,19.89,24,0.79,1,3,2,0,2,5,0,
160,168,37.0,80129.8897460505,71480.0,346,37,4.0,8.01,12,0.27,4,1,3,1,1,4,1,
161,169,64.0,58081.0,154500.0,352,53,3.0,12.47,12,0.61,1,3,1,0,0,3,1,
162,170,19.0,137132.0,124427.0,638,54,4.0,17.86,60,0.58,2,1,2,1,1,5,1,
163,171,19.0,23567.0,181159.0,674,114,4.0,23.54,48,0.88,2,1,1,2,1,1,0,
164,172,62.0,76463.0,61367.0,612,69,2.0,13.54,60,0.76,2,4,2,1,0,2,0,
165,173,48.0,142997.0,24675.0,364,5,4.0,13.24,48,0.4,3,2,1,1,0,4,1,
166,174,23.0,28688.0,242268.0,342,78,2.0,23.56,12,0.55,1,1,2,1,1,5,0,
167,175,18.0,113137.0,246822.0,543,100,4.0,17.54,48,0.63,3,3,2,0,0,5,1,
168,176,44.3232547279944,16430.0,94800.0,363,3,2.0,2.84,60,0.9,4,1,2,0,1,1,0,
169,177,44.3232547279944,97468.0,122921.0,337,36,4.0,23.09,36,0.81,3,3,1,1,1,1,0,
170,178,33.0,80129.8897460505,204157.0,610,7,3.0,23.84,12,0.29,3,2,3,1,0,2,1,
171,179,36.0,46781.0,183364.0,302,88,4.0,14.0743642237595,48,0.37,3,3,1,0,1,2,0,
172,180,24.0,80129.8897460505,247048.0,458,35,1.0,5.1,48,0.42,4,1,2,1,0,5,1,
173,181,68.0,39032.0,89289.0,422,107,2.0,9.5,12,0.83,3,3,1,0,1,5,1,
174,182,40.0,15037.0,150569.0,335,55,4.0,22.21,24,0.26,4,4,1,0,1,3,1,
175,183,49.0,83828.0,219807.0,566,71,2.0,16.52,24,0.47,2,1,1,1,0,5,0,
176,184,21.0,107872.0,154499.0,549,33,4.0,13.95,24,0.49,2,3,3,1,0,1,1,
177,185,65.0,80129.8897460505,14594.0,480,99,2.0,10.4,24,0.69,1,2,3,1,0,3,0,
178,186,31.0,135857.0,131814.590994711,428,90,2.0,11.81,24,0.55,2,4,3,0,0,5,1,
179,187,50.0,141464.0,231147.0,844,26,1.0,20.29,60,0.45,1,1,2,0,1,1,0,
180,188,45.0,46619.0,216213.0,490,12,4.0,12.47,24,0.81,3,4,1,1,1,4,0,
181,189,20.0,80129.8897460505,118079.0,498,77,4.0,24.23,48,0.12,1,1,2,0,1,3,0,
182,190,25.0,131198.0,184636.0,450,24,3.0,3.45,24,0.86,2,3,1,1,0,3,0,
183,191,29.0,77884.0,161683.0,445,108,1.0,24.25,48,0.87,3,3,3,1,1,4,0,
184,192,50.0,80129.8897460505,146475.0,657,73,2.0,24.9,60,0.44,3,2,1,0,0,4,1,
185,193,49.0,80129.8897460505,13570.0,1055,86,2.0,22.3,24,0.73,2,4,2,1,0,2,0,
186,194,56.0,131613.0,46600.0,666,34,1.0,4.31,12,0.62,2,2,1,1,0,2,1,
187,195,22.0,20889.0,131415.0,669,50,1.0,10.21,60,0.78,4,1,1,0,1,2,1,
188,196,55.0,31430.0,114237.0,568,9,4.0,15.56,60,0.64,1,3,1,0,0,1,0,
189,197,36.0,70918.0,163102.0,424,77,4.0,14.21,24,0.57,1,4,3,0,0,4,1,
190,198,64.0,55341.0,245172.0,1019,102,2.0,6.34,12,0.17,1,1,2,1,0,3,1,
191,200,44.3232547279944,70619.0,59805.0,313,15,4.0,6.47,12,0.43,4,2,3,1,0,3,1,
192,201,44.0,87721.0,53091.0,624,28,1.0,21.38,36,0.75,4,4,3,0,0,4,1,
193,202,44.3232547279944,112343.0,131814.590994711,634,8,4.0,7.51,12,0.59,1,4,1,0,0,4,1,
194,203,24.0,123269.0,65256.0,709,0,2.0,18.89,24,0.74,1,1,3,0,1,3,0,
195,204,46.0,68391.0,37711.0,330,85,4.0,22.01,12,0.55,3,3,3,0,1,4,1,
196,205,22.0,20139.0,204730.0,655,35,1.0,5.1,12,0.61,1,2,3,1,1,4,1,
197,206,18.0,32149.0,226597.0,521,103,3.0,11.02,48,0.44,2,4,3,0,0,4,0,
198,207,38.0,87076.0,25217.0,567,50,1.0,22.37,36,0.69,3,4,3,1,0,3,0,
199,208,46.0,21073.0,52020.0,773,115,1.0,5.07,12,0.2,3,1,2,1,1,2,1,
200,209,22.0,26732.0,139367.0,696,24,4.0,13.8,60,0.22,2,1,2,0,1,4,1,
201,210,49.0,16852.0,215057.0,777,108,4.0,19.56,24,0.18,3,4,2,0,0,2,0,
202,211,20.0,66156.0,189204.0,540,25,4.0,8.04,24,0.87,1,4,1,0,1,4,0,
203,212,38.0,43866.0,49955.0,497,38,3.0,2.5,24,0.48,4,2,1,0,1,5,1,
204,213,20.0,75980.0,131814.590994711,350,45,4.0,18.21,24,0.55,3,4,3,1,1,2,0,
205,214,42.0,142797.0,206956.0,513,10,1.0,7.76,48,0.68,4,3,1,0,0,3,1,
206,215,44.3232547279944,76913.0,230035.0,326,33,3.0,10.17,48,0.35,3,1,1,1,0,1,0,
207,216,65.0,37617.0,209549.0,692,83,3.0,17.6,24,0.57,2,3,2,0,0,3,0,
208,217,21.0,45496.0,70395.0,324,55,3.0,15.52,24,0.5,4,1,3,0,1,5,0,
209,218,55.0,74814.0,189825.0,519,23,3.0,21.85,36,0.8,1,4,3,0,0,3,1,
210,219,45.0,80129.8897460505,249323.0,808,12,2.0,14.92,48,0.38,2,2,2,0,1,4,0,
211,220,50.0,105299.0,249042.0,332,34,3.0,24.96,24,0.89,2,4,1,1,3,4,0,
212,221,23.0,23265.0,72603.0,667,7,2.0,14.0743642237595,60,0.52,1,5,1,1,1,5,1,
213,222,32.0,108962.0,159094.0,734,72,4.0,16.04,24,0.4,4,2,1,1,1,3,0,
214,223,46.0,80129.8897460505,189537.0,497,76,1.0,20.5,48,0.52,4,3,1,0,0,3,0,
215,225,58.0,80129.8897460505,131814.590994711,463,113,2.0,18.72,48,0.42,1,3,2,0,2,4,0,
216,227,69.0,80129.8897460505,177806.0,829,119,3.0,12.85,48,0.85,2,2,1,1,1,1,0,
217,228,44.3232547279944,76589.0,35057.0,524,74,4.0,9.75,60,0.26,3,2,3,0,1,3,1,
218,229,28.0,136606.0,121887.0,543,1,3.0,6.01,48,0.87,1,3,2,0,1,2,1,
219,230,65.0,42188.0,176058.0,782,69,2.0,21.68,48,0.24,1,3,2,1,1,2,1,
220,231,25.0,55471.0,143124.0,373,25,2.0,12.2,24,0.36,4,4,2,0,1,3,0,
221,232,25.0,51884.0,131258.0,432,62,3.0,15.02,24,0.37,3,1,2,1,0,5,1,
222,233,48.0,66212.0,118479.0,1044,112,4.0,22.24,48,0.44,2,2,1,1,0,1,1,
223,234,63.0,79853.0,22852.0,401,49,3.0,21.4,12,0.23,2,2,2,0,0,3,1,
224,235,63.0,112109.0,69417.0,783,51,1.0,4.15,60,0.7,4,3,2,0,0,1,1,
225,237,46.0,125461.0,5981.0,352,117,3.0,12.59,12,0.61,1,3,1,0,0,4,0,
226,238,44.3232547279944,61925.0,128786.0,675,79,3.0,14.0743642237595,48,0.56,1,1,1,1,0,2,1,
227,239,44.3232547279944,93795.0,59464.0,797,55,3.0,3.12,48,0.72,4,1,1,0,0,3,1,
228,240,21.0,80129.8897460505,201395.0,796,5,2.0,7.52,36,0.58,3,1,2,1,0,1,1,
229,241,44.3232547279944,124945.0,115600.0,468,59,2.0,6.13,36,0.5,4,1,1,1,0,5,1,
230,242,57.0,56735.0,135442.0,747,14,4.0,7.73,60,0.62,1,3,2,1,0,2,0,
231,243,20.0,30010.0,230902.0,757,37,4.0,20.85,24,0.68,2,2,1,0,1,1,1,
232,244,46.0,62212.0,240011.0,626,81,1.0,10.83,24,0.64,4,2,1,1,0,5,0,
233,245,44.3232547279944,80129.8897460505,178649.0,758,54,3.0,21.99,12,0.29,1,2,3,1,0,5,0,
234,247,19.0,106772.0,213563.0,302,116,1.0,15.58,48,0.46,4,2,1,0,0,5,1,
235,248,44.3232547279944,97368.0,34617.0,363,96,3.0,21.68,12,0.75,3,3,1,1,1,2,0,
236,249,61.0,140550.0,28358.0,683,41,2.0,14.75,48,0.24,4,3,2,0,0,4,0,
237,250,50.0,96644.0,205440.0,609,11,2.0,16.63,12,0.56,4,4,3,1,0,5,1,
238,251,28.0,80129.8897460505,158058.0,410,89,3.0,13.23,12,0.85,4,4,3,1,1,4,1,
239,252,45.0,148908.0,71791.0,454,2,3.0,11.01,12,0.46,1,2,1,1,1,3,0,
240,253,32.0,114082.0,45891.0,730,4,1.0,3.81,24,0.42,1,1,1,1,0,1,0,
241,254,25.0,77329.0,25869.0,326,116,3.0,21.7,36,0.25,4,2,1,0,0,4,0,
242,255,58.0,22715.0,109644.0,382,68,4.0,22.79,48,0.33,1,2,1,0,1,3,1,
243,256,33.0,26100.0,248823.0,543,96,2.0,22.14,48,0.82,1,4,1,0,0,4,0,
244,257,22.0,18404.0,191488.0,529,17,2.0,2.03,48,0.84,1,4,2,0,0,1,1,
245,258,57.0,19505.0,102730.0,738,58,2.0,14.0743642237595,12,0.64,4,2,1,1,1,3,0,
246,259,44.3232547279944,31898.0,94160.0,507,49,2.0,21.14,48,0.15,1,2,2,0,1,4,0,
247,260,53.0,18110.0,114990.0,619,18,2.0,14.83,12,0.85,4,3,2,0,0,2,1,
248,261,56.0,53166.0,68173.0,743,57,3.0,3.17,36,0.16,3,2,1,0,0,5,1,
249,262,41.0,18016.0,61569.0,680,18,1.0,8.92,36,0.13,2,1,1,1,0,2,1,
250,263,26.0,33792.0,181641.0,591,98,4.0,7.34,48,0.44,3,3,1,1,1,3,0,
251,264,44.0,66623.0,156855.0,415,26,4.0,5.61,36,0.85,1,3,1,1,1,5,0,
252,265,66.0,129181.0,95913.0,1016,101,4.0,15.11,60,0.81,2,2,2,0,0,2,1,
253,266,44.3232547279944,67081.0,147987.0,416,13,1.0,3.67,24,0.36,2,4,1,1,0,5,0,
254,267,37.0,147692.0,72660.0,820,71,2.52142419914303,17.56,36,0.74,1,2,1,1,0,3,0,
255,268,45.0,98403.0,104711.0,831,9,3.0,21.87,24,0.21,3,4,1,0,1,4,1,
256,269,44.3232547279944,56125.0,72770.0,747,2,4.0,23.07,12,0.59,1,3,2,0,0,1,0,
257,270,44.3232547279944,37775.0,138029.0,1068,73,4.0,24.33,48,0.59,3,3,3,1,1,2,0,
258,272,68.0,55611.0,104615.0,754,94,3.0,21.64,60,0.61,3,4,3,3,1,4,0,
259,273,29.0,108916.0,212531.0,315,49,1.0,23.79,36,0.42,4,4,3,0,1,1,1,
260,274,49.0,122939.0,114209.0,443,33,2.0,23.54,48,0.43,2,3,1,0,1,5,1,
